,Date,FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Metro_status
324,10/22/2021,35006,Cibola County,NM,57.2,Non-metro
325,10/22/2021,51167,Russell County,VA,42.5,Non-metro
326,10/22/2021,72003,Aguada Municipio,PR,65.1,Metro
327,10/22/2021,26079,Kalkaska County,MI,43.3,Non-metro
328,10/22/2021,12129,Wakulla County,FL,40.8,Metro
329,10/22/2021,37089,Henderson County,NC,51.2,Metro
330,10/22/2021,48121,Denton County,TX,54.7,Metro
331,10/22/2021,1095,Marshall County,AL,39.9,Non-metro
332,10/22/2021,21103,Henry County,KY,52.4,Metro
333,10/22/2021,48143,Erath County,TX,33.2,Non-metro
334,10/22/2021,48047,Brooks County,TX,54.9,Non-metro
335,10/22/2021,45055,Kershaw County,SC,51.0,Metro
336,10/22/2021,48385,Real County,TX,45.1,Non-metro
337,10/22/2021,17037,DeKalb County,IL,44.4,Metro
338,10/22/2021,1047,Dallas County,AL,38.1,Non-metro
339,10/22/2021,72043,Coamo Municipio,PR,63.6,Non-metro
340,10/22/2021,1073,Jefferson County,AL,50.7,Metro
341,10/22/2021,56025,Natrona County,WY,38.3,Metro
342,10/22/2021,19011,Benton County,IA,52.4,Metro
343,10/22/2021,41031,Jefferson County,OR,55.0,Non-metro
344,10/22/2021,53023,Garfield County,WA,34.7,Non-metro
345,10/22/2021,72041,Cidra Municipio,PR,68.2,Metro
346,10/22/2021,13179,Liberty County,GA,41.3,Metro
347,10/22/2021,22065,Madison Parish,LA,37.7,Non-metro
348,10/22/2021,19129,Mills County,IA,49.2,Metro
349,10/22/2021,21167,Mercer County,KY,52.8,Non-metro
350,10/22/2021,22025,Catahoula Parish,LA,35.9,Non-metro
351,10/22/2021,20051,Ellis County,KS,44.6,Non-metro
352,10/22/2021,13299,Ware County,GA,23.3,Non-metro
353,10/22/2021,20113,McPherson County,KS,48.0,Non-metro
354,10/22/2021,55091,Pepin County,WI,45.3,Non-metro
355,10/22/2021,40103,Noble County,OK,55.3,Non-metro
356,10/22/2021,29033,Carroll County,MO,44.9,Non-metro
357,10/22/2021,12019,Clay County,FL,43.8,Metro
358,10/22/2021,12121,Suwannee County,FL,34.0,Non-metro
359,10/22/2021,48265,Kerr County,TX,45.9,Non-metro
360,10/22/2021,48179,Gray County,TX,35.4,Non-metro
361,10/22/2021,34009,Cape May County,NJ,66.1,Metro
362,10/22/2021,38027,Eddy County,ND,47.7,Non-metro
363,10/22/2021,17129,Menard County,IL,49.2,Metro
364,10/22/2021,19155,Pottawattamie County,IA,50.8,Metro
365,10/22/2021,38071,Ramsey County,ND,51.3,Non-metro
366,10/22/2021,28125,Sharkey County,MS,49.0,Non-metro
367,10/22/2021,20191,Sumner County,KS,38.3,Metro
368,10/22/2021,19169,Story County,IA,56.7,Metro
369,10/22/2021,2170,Matanuska-Susitna Borough,AK,33.2,Metro
370,10/22/2021,13255,Spalding County,GA,16.1,Metro
371,10/22/2021,31155,Saunders County,NE,46.6,Metro
372,10/22/2021,17101,Lawrence County,IL,30.0,Non-metro
373,10/22/2021,35035,Otero County,NM,47.8,Non-metro
374,10/22/2021,49001,Beaver County,UT,40.1,Non-metro
375,10/22/2021,26091,Lenawee County,MI,48.1,Non-metro
376,10/22/2021,48049,Brown County,TX,35.9,Non-metro
377,10/22/2021,51109,Louisa County,VA,40.3,Non-metro
378,10/22/2021,48115,Dawson County,TX,29.6,Non-metro
379,10/22/2021,18037,Dubois County,IN,52.1,Non-metro
380,10/22/2021,42011,Berks County,PA,55.2,Metro
381,10/22/2021,49029,Morgan County,UT,43.7,Metro
382,10/22/2021,31149,Rock County,NE,32.9,Non-metro
383,10/22/2021,27167,Wilkin County,MN,29.0,Non-metro
384,10/22/2021,47059,Greene County,TN,41.8,Non-metro
385,10/22/2021,20119,Meade County,KS,35.4,Non-metro
386,10/22/2021,5045,Faulkner County,AR,43.4,Metro
387,10/22/2021,40041,Delaware County,OK,32.6,Non-metro
388,10/22/2021,8071,Las Animas County,CO,55.0,Non-metro
389,10/22/2021,37105,Lee County,NC,49.1,Non-metro
390,10/22/2021,39045,Fairfield County,OH,50.5,Metro
391,10/22/2021,47143,Rhea County,TN,38.1,Non-metro
392,10/22/2021,47119,Maury County,TN,56.7,Metro
393,10/22/2021,48013,Atascosa County,TX,44.1,Metro
394,10/22/2021,72099,Moca Municipio,PR,69.7,Metro
395,10/22/2021,31065,Furnas County,NE,39.3,Non-metro
396,10/22/2021,48201,Harris County,TX,55.6,Metro
397,10/22/2021,8121,Washington County,CO,26.7,Non-metro
398,10/22/2021,33013,Merrimack County,NH,62.8,Non-metro
399,10/22/2021,37175,Transylvania County,NC,49.4,Non-metro
400,10/22/2021,5075,Lawrence County,AR,40.8,Non-metro
401,10/22/2021,20207,Woodson County,KS,38.4,Non-metro
402,10/22/2021,29047,Clay County,MO,47.2,Metro
403,10/22/2021,29057,Dade County,MO,40.2,Non-metro
404,10/22/2021,16027,Canyon County,ID,36.1,Metro
405,10/22/2021,13003,Atkinson County,GA,17.2,Non-metro
406,10/22/2021,36001,Albany County,NY,66.6,Metro
407,10/22/2021,72117,Rincon Municipio,PR,66.7,Metro
408,10/22/2021,39063,Hancock County,OH,45.8,Non-metro
409,10/22/2021,37111,McDowell County,NC,46.4,Non-metro
410,10/22/2021,48279,Lamb County,TX,37.1,Non-metro
411,10/22/2021,39015,Brown County,OH,36.4,Metro
412,10/22/2021,29035,Carter County,MO,29.8,Non-metro
413,10/22/2021,21155,Marion County,KY,49.5,Non-metro
414,10/22/2021,12043,Glades County,FL,30.1,Non-metro
415,10/22/2021,28113,Pike County,MS,44.1,Non-metro
416,10/22/2021,39039,Defiance County,OH,44.2,Non-metro
417,10/22/2021,46083,Lincoln County,SD,50.0,Metro
418,10/22/2021,46085,Lyman County,SD,52.2,Non-metro
419,10/22/2021,51127,New Kent County,VA,47.9,Metro
420,10/22/2021,20063,Gove County,KS,44.2,Non-metro
421,10/22/2021,46097,Miner County,SD,47.9,Non-metro
422,10/22/2021,13267,Tattnall County,GA,14.1,Non-metro
423,10/22/2021,12113,Santa Rosa County,FL,44.6,Metro
424,10/22/2021,26121,Muskegon County,MI,49.7,Metro
425,10/22/2021,8017,Cheyenne County,CO,29.5,Non-metro
426,10/22/2021,18167,Vigo County,IN,45.7,Metro
427,10/22/2021,38085,Sioux County,ND,38.0,Metro
428,10/22/2021,5149,Yell County,AR,43.5,Non-metro
429,10/22/2021,42069,Lackawanna County,PA,66.2,Metro
430,10/22/2021,48295,Lipscomb County,TX,31.4,Non-metro
431,10/22/2021,21117,Kenton County,KY,62.7,Metro
432,10/22/2021,2180,Nome Census Area,AK,61.1,Non-metro
433,10/22/2021,48141,El Paso County,TX,67.5,Metro
434,10/22/2021,19131,Mitchell County,IA,44.7,Non-metro
435,10/22/2021,47185,White County,TN,38.2,Non-metro
436,10/22/2021,12073,Leon County,FL,51.0,Metro
437,10/22/2021,27057,Hubbard County,MN,41.3,Non-metro
438,10/22/2021,49019,Grand County,UT,58.5,Non-metro
439,10/22/2021,16033,Clark County,ID,32.7,Non-metro
440,10/22/2021,17061,Greene County,IL,36.5,Non-metro
441,10/22/2021,29115,Linn County,MO,41.9,Non-metro
442,10/22/2021,38077,Richland County,ND,45.8,Non-metro
443,10/22/2021,12081,Manatee County,FL,55.2,Metro
444,10/22/2021,72011,Anasco Municipio,PR,68.1,Metro
445,10/22/2021,39057,Greene County,OH,57.8,Metro
446,10/22/2021,12095,Orange County,FL,61.0,Metro
447,10/22/2021,45041,Florence County,SC,48.3,Metro
448,10/22/2021,39081,Jefferson County,OH,44.7,Metro
449,10/22/2021,37053,Currituck County,NC,47.4,Metro
450,10/22/2021,48489,Willacy County,TX,55.6,Non-metro
451,10/22/2021,51700,Newport News city,VA,47.7,Metro
452,10/22/2021,13177,Lee County,GA,18.1,Metro
453,10/22/2021,29111,Lewis County,MO,30.9,Non-metro
454,10/22/2021,8097,Pitkin County,CO,72.0,Non-metro
455,10/22/2021,46013,Brown County,SD,48.2,Non-metro
456,10/22/2021,37099,Jackson County,NC,47.2,Non-metro
