Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
10/20/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,All Counties in the U.S.,20284,79065,
10/20/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,Metropolitan,17961,67983,
10/20/2021,01/24/2021,01/30/2021,2021,4,01/30/2021,United States,Nonmetropolitan,2323,11082,
10/20/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,All Counties in the U.S.,16980,76328,
10/20/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,Metropolitan,15255,65657,
10/20/2021,01/31/2021,02/06/2021,2021,5,02/06/2021,United States,Nonmetropolitan,1725,10671,
10/20/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,All Counties in the U.S.,13482,71393,
10/20/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,Metropolitan,12179,61345,
10/20/2021,02/07/2021,02/13/2021,2021,6,02/13/2021,United States,Nonmetropolitan,1303,10048,
10/20/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,All Counties in the U.S.,10798,69445,
10/20/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,Metropolitan,9811,59384,
10/20/2021,02/14/2021,02/20/2021,2021,7,02/20/2021,United States,Nonmetropolitan,987,10061,
10/20/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,All Counties in the U.S.,8630,66653,
10/20/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,Metropolitan,7834,57019,
10/20/2021,02/21/2021,02/27/2021,2021,8,02/27/2021,United States,Nonmetropolitan,796,9634,
10/20/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,All Counties in the U.S.,6700,63604,
10/20/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,Metropolitan,6124,54519,
10/20/2021,02/28/2021,03/06/2021,2021,9,03/06/2021,United States,Nonmetropolitan,576,9085,
10/20/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,All Counties in the U.S.,5691,61742,
10/20/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,Metropolitan,5206,52782,
10/20/2021,03/07/2021,03/13/2021,2021,10,03/13/2021,United States,Nonmetropolitan,485,8960,
10/20/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,All Counties in the U.S.,4879,60235,
10/20/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,Metropolitan,4448,51628,
10/20/2021,03/14/2021,03/20/2021,2021,11,03/20/2021,United States,Nonmetropolitan,431,8607,
10/20/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,All Counties in the U.S.,4435,60657,
10/20/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,Metropolitan,4077,51909,
10/20/2021,03/21/2021,03/27/2021,2021,12,03/27/2021,United States,Nonmetropolitan,358,8748,
10/20/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,All Counties in the U.S.,4171,58531,
10/20/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,Metropolitan,3806,50098,
10/20/2021,03/28/2021,04/03/2021,2021,13,04/03/2021,United States,Nonmetropolitan,365,8433,
10/20/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,All Counties in the U.S.,4284,60818,
10/20/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,Metropolitan,3932,52024,
10/20/2021,04/04/2021,04/10/2021,2021,14,04/10/2021,United States,Nonmetropolitan,352,8794,
10/20/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,All Counties in the U.S.,4428,58978,
10/20/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,Metropolitan,4049,50422,
10/20/2021,04/11/2021,04/17/2021,2021,15,04/17/2021,United States,Nonmetropolitan,379,8556,
10/20/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,All Counties in the U.S.,4558,60082,
10/20/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,Metropolitan,4168,51224,
10/20/2021,04/18/2021,04/24/2021,2021,16,04/24/2021,United States,Nonmetropolitan,390,8858,
10/20/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,All Counties in the U.S.,4143,59600,
10/20/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,Metropolitan,3782,50682,
10/20/2021,04/25/2021,05/01/2021,2021,17,05/01/2021,United States,Nonmetropolitan,361,8918,
10/20/2021,05/02/2021,05/08/2021,2021,18,05/08/2021,United States,All Counties in the U.S.,3970,58688,
10/20/2021,05/02/2021,05/08/2021,2021,18,05/08/2021,United States,Metropolitan,3639,49981,
10/20/2021,05/02/2021,05/08/2021,2021,18,05/08/2021,United States,Nonmetropolitan,331,8707,
10/20/2021,05/09/2021,05/15/2021,2021,19,05/15/2021,United States,All Counties in the U.S.,3653,58117,
10/20/2021,05/09/2021,05/15/2021,2021,19,05/15/2021,United States,Metropolitan,3333,49597,
10/20/2021,05/09/2021,05/15/2021,2021,19,05/15/2021,United States,Nonmetropolitan,320,8520,
10/20/2021,05/16/2021,05/22/2021,2021,20,05/22/2021,United States,All Counties in the U.S.,3207,58330,
10/20/2021,05/16/2021,05/22/2021,2021,20,05/22/2021,United States,Metropolitan,2893,49674,
10/20/2021,05/16/2021,05/22/2021,2021,20,05/22/2021,United States,Nonmetropolitan,314,8656,
10/20/2021,05/23/2021,05/29/2021,2021,21,05/29/2021,United States,All Counties in the U.S.,2747,56768,
10/20/2021,05/23/2021,05/29/2021,2021,21,05/29/2021,United States,Metropolitan,2437,48451,
