FIPS,POPESTIMATE2020,Case_Count,% Pop Cases,Total_Vaccines,% Vaccinated
12117,474171,30620,0.06457585976367175,260508,0.5493967366203332
12119,139018,8591,0.06179775280898876,98867,0.7111812858766491
12121,44851,4790,0.10679806470312814,15045,0.3354440257742302
12123,21600,2354,0.10898148148148148,7590,0.35138888888888886
12127,561497,34174,0.06086230202476594,297343,0.5295540314551992
12129,34319,2336,0.06806725137678837,13727,0.3999825169731053
12131,76648,5079,0.06626395992067634,31028,0.40481160630414365
12133,25932,2550,0.0983341045812124,7273,0.28046429122319916
13009,45099,4151,0.09204195214971507,6273,0.13909399321492716
13013,85588,8945,0.10451231481048745,15868,0.18539982240501005
