State,County Name,Urban Rural Code,FIPS,Total deaths,COVID-19 Deaths,Urban Rural Description,Pct_Deaths_by_Covid,Covid_Death_Pct_Above_Median
CA,Placer County,2,6061,7722,660,Large fringe metro,8.547008547008547,0
CA,Riverside County,1,6065,37638,5913,Large central metro,15.710186513629843,1
CA,Sacramento County,1,6067,24768,2243,Large central metro,9.056040051679586,0
CA,San Bernardino County,2,6071,34964,6251,Large fringe metro,17.87838920032033,1
CA,San Diego County,1,6073,46598,5013,Large central metro,10.75797244516932,0
CA,San Francisco County,1,6075,11938,604,Large central metro,5.059473948735131,0
CA,San Joaquin County,3,6077,11866,1720,Medium metro,14.49519635934603,1
CA,San Luis Obispo County,3,6079,4331,295,Medium metro,6.81135996305703,0
CA,San Mateo County,2,6081,8841,652,Large fringe metro,7.374731365230177,0
CA,Santa Barbara County,3,6083,6483,603,Medium metro,9.30124942156409,0
CA,Santa Clara County,1,6085,21565,2009,Large central metro,9.31602133086019,0
CA,Santa Cruz County,3,6087,3339,287,Medium metro,8.59538784067086,0
CA,Shasta County,4,6089,4798,387,Small metro,8.065860775323051,0
CA,Solano County,3,6095,6727,532,Medium metro,7.908428720083246,0
CA,Sonoma County,3,6097,8023,499,Medium metro,6.219618596534962,0
CA,Stanislaus County,3,6099,11023,1788,Medium metro,16.220629592669873,1
CA,Tehama County,5,6103,1144,104,Micropolitan,9.090909090909092,0
CA,Tulare County,3,6107,6646,1043,Medium metro,15.693650315979538,1
CA,Tuolumne County,5,6109,1300,118,Micropolitan,9.076923076923077,0
CA,Ventura County,3,6111,11699,1231,Medium metro,10.52226686041542,0
CA,Yolo County,2,6113,2259,203,Large fringe metro,8.986277113767153,0
CA,Yuba County,4,6115,1551,186,Small metro,11.992263056092844,0
CO,Adams County,2,8001,7651,978,Large fringe metro,12.782642791791924,1
CO,Arapahoe County,2,8005,8724,934,Large fringe metro,10.706098120128381,0
CO,Boulder County,3,8013,4547,409,Medium metro,8.994941719815262,0
CO,Denver County,1,8031,9910,894,Large central metro,9.021190716448032,0
CO,Douglas County,2,8035,3453,365,Large fringe metro,10.570518389805967,0
CO,El Paso County,3,8041,10910,1234,Medium metro,11.310724106324473,0
CO,Jefferson County,2,8059,9493,920,Large fringe metro,9.691351522174234,0
CO,Larimer County,3,8069,5250,393,Medium metro,7.485714285714286,0
CO,Mesa County,4,8077,3707,372,Small metro,10.035068788777988,0
CO,Pueblo County,4,8101,4200,476,Small metro,11.333333333333332,0
CO,Weld County,3,8123,3397,353,Medium metro,10.39152193111569,0
CT,Fairfield County,3,9001,13945,2348,Medium metro,16.83757619218358,1
CT,Hartford County,1,9003,17325,2671,Large central metro,15.417027417027418,1
CT,Litchfield County,5,9005,2754,236,Micropolitan,8.569353667392884,0
CT,Middlesex County,2,9007,2684,393,Large fringe metro,14.642324888226527,1
CT,New Haven County,3,9009,16920,2309,Medium metro,13.646572104018912,1
CT,New London County,3,9011,4562,456,Medium metro,9.995615957913195,0
CT,Tolland County,2,9013,1344,102,Large fringe metro,7.5892857142857135,0
CT,Windham County,3,9015,1734,151,Medium metro,8.708189158016149,0
DC,District of Columbia,1,11001,12746,1587,Large central metro,12.45096500863016,1
DE,Kent County,4,10001,3710,378,Small metro,10.18867924528302,0
DE,New Castle County,2,10003,10512,1012,Large fringe metro,9.627092846270928,0
DE,Sussex County,3,10005,5023,585,Medium metro,11.646426438383436,0
FL,Alachua County,3,12001,7634,1197,Medium metro,15.679853287922452,1
FL,Bay County,4,12005,4389,693,Small metro,15.789473684210526,1
FL,Brevard County,3,12009,15500,1644,Medium metro,10.606451612903225,0
FL,Broward County,2,12011,32724,4643,Large fringe metro,14.188363280772522,1
FL,Charlotte County,4,12015,5891,572,Small metro,9.70972670174843,0
FL,Citrus County,4,12017,5646,665,Small metro,11.778250088558272,0
FL,Clay County,2,12019,4848,713,Large fringe metro,14.707095709570957,1
FL,Collier County,3,12021,7684,914,Medium metro,11.894846434148882,0
FL,Columbia County,5,12023,2134,313,Micropolitan,14.667291471415183,1
FL,Duval County,1,12031,22011,3190,Large central metro,14.492753623188406,1
FL,Escambia County,3,12033,10107,1354,Medium metro,13.39665578312061,1
FL,Flagler County,3,12035,2918,265,Medium metro,9.0815627141878,0
